DCODE,num_stu
1001,16283
1002,12988
1003,5091
1004,2823
1005,2144
1006,7262
1007,4410
1008,7143
1009,5248
1010,6087
1011,8383
1012,4013
1013,2169
1014,4309
1015,7570
1016,6424
1017,6346
1019,6401
1020,12673
1021,4562
1022,9524
1023,2993
1024,3938
1025,1686
1026,6574
1027,8602
1028,8630
1029,4567
1030,9084
1032,2622
1033,6588
1034,5155
1035,9078
1036,7359
1037,7629
1038,7314
1039,3042
1040,5088
1041,2730
1042,5621
1044,8721
1045,9017
1046,5854
1047,2735
1048,4704
1049,4080
1050,3513
